time,ax,ay,az,atotal
0.977481127,0.33,-0.01,-0.11,0.34
1.984631062,0.67,-0.11,-1.79,1.91
2.97519803,-0.7,-1.13,0.14,1.33
3.9743011,0.04,0.24,-1.39,1.41
4.976917028,0.53,-0.53,-1.28,1.48
5.975858927,1.07,-0.36,-2.03,2.32
6.975008011,-0.36,1.64,0.02,1.67
7.97409606,-0.22,-0.2,-3.18,3.19
8.967041016,-0.28,0.63,4.01,4.06
9.971494913,0.59,-1,-0.89,1.46
10.9720881,0.27,0.01,5.33,5.33
11.97258401,0.48,-0.17,-1.72,1.79
12.97332096,-1.75,-0.02,-0.03,1.75
13.97369885,-0.49,-0.78,-0.63,1.11
14.97413087,0.71,-2.56,-1.23,2.92
15.97519708,-0.37,2.52,4.99,5.6
16.97234988,0.57,0.22,-1.48,1.6
17.97564101,-0.81,0.84,-1.68,2.04
18.97653985,0.79,-0.84,-0.11,1.15
19.97355294,0.08,-2.48,-1.01,2.67
20.95955706,-1.38,1.81,7.82,8.14
21.95932317,-0.18,-1.74,-2.72,3.23
22.96114802,-1.25,1.49,4.96,5.32
23.95592189,0.85,-1.48,-1.86,2.52
24.95467019,0.36,-1.22,-0.48,1.35
25.963727,1,1.76,-0.07,2.02
26.96367908,-1.3,-0.39,-1.19,1.8
27.9595511,-0.84,0.25,0.48,0.99
28.95086694,0.11,-2.29,-2.06,3.08
29.94976306,0.11,1.33,4.31,4.51
30.94955611,-0.35,0.27,-1.73,1.78
