time,ax,ay,az,atotal
0.96582818,3.21,6.35,-6.11,9.37
1.966150284,24.18,-8.95,1.11,25.8
2.96579814,15.71,-10.02,-4.2,19.1
3.964991093,7.59,-5.68,5.14,10.78
4.965589046,20.18,-14.5,1.34,24.88
5.964888096,19.47,-2.16,-10.77,22.35
6.963872194,12.61,-1.64,-12.47,17.81
7.963548183,9.34,-0.22,-8.8,12.83
8.963564157,9.02,-3.28,-10.05,13.89
9.962967157,15.78,-1.45,-9.01,18.22
10.96330833,19.68,-18.28,1.96,26.93
11.96256828,4.35,-17.34,11.22,21.1
12.9623661,2.27,-10.1,7.19,12.6
13.96165133,1.54,-15.11,5.89,16.29
14.96145821,1.95,-15.86,1.14,16.02
15.96183109,-0.78,-20.33,2.8,20.53
16.9608283,-4.14,-18.11,1.47,18.63
17.96046829,-7.5,-18.32,0.04,19.79
18.96021509,-10.76,-18.95,4.29,22.21
19.95988035,-10.78,-14.49,3.95,18.48
20.95958114,-10.44,-16.2,3.36,19.56
21.95935202,-4.57,-18.22,2.87,19
22.95894718,1.23,-19.6,0.87,19.65
23.95882916,12.35,-18.34,3.72,22.42
24.95824909,11.12,-14.48,0.02,18.25
25.95799828,27.15,-17.97,-1.23,32.58
26.95801115,17.31,-7.19,-4.61,19.3
27.95762014,22.05,0.07,-8.92,23.78
28.95712519,13.92,0.22,-13.66,19.5
29.95669413,8.54,1.7,-4.2,9.66
30.95646906,10.84,-1.84,-4.41,11.84
