time,ax,ay,az,atotal
0.525238991,2.77,-6.15,-5.96,9
1.524861097,-7.66,2.88,-0.4,8.19
2.525345087,-1.18,-0.45,1.19,1.73
3.524168968,0.81,4.96,-0.16,5.02
4.523924112,-0.15,2.6,-0.99,2.78
5.523441076,-2.17,3.23,0.89,3.99
6.523498058,-1.38,2.77,-0.79,3.19
7.522562027,-0.82,4.01,-2.75,4.93
8.522026062,-0.29,2.76,1.66,3.23
9.521762133,-0.28,1.78,-0.45,1.85
10.5214653,-1.52,2.33,-2.79,3.93
11.52135706,-2.67,-0.33,-4.02,4.83
12.52072096,-5.19,-1.35,-0.1,5.36
13.52017713,-2.6,2.98,-5.04,6.4
14.51992607,-1.65,-3.59,-0.64,4
15.51963997,-1.75,-2.19,-1.48,3.17
16.51960015,-2.68,-11.06,0.58,11.39
17.51875401,1.53,-8.44,10.15,13.28
18.51834631,-0.76,0.9,1.81,2.15
19.518085,-0.76,3.96,0.23,4.03
20.51742911,1.11,5.69,-0.16,5.79
21.51769018,2.55,4.76,-3.21,6.28
22.51708508,3.14,4.54,-1.49,5.71
23.51637697,2.06,2.83,3.55,4.98
24.51609421,2.68,4.36,2.26,5.59
25.51560307,1.49,2.86,1.09,3.4
26.51570606,0.71,3.12,-0.37,3.22
27.51446915,-3.63,0.17,-3.83,5.27
28.51428914,-5.28,-13.91,-6.07,16.06
29.51382017,-4.92,-9.59,-5.25,11.98
30.51378727,3.22,-11.22,13.49,17.83
