time,ax,ay,az,atotal
0.639558315,0.21,-4.38,-3.29,5.48
1.639075279,3.83,-10.7,2.67,11.67
2.639492989,9.57,-13.33,3.86,16.85
3.6386621,14.15,-9.51,-0.29,17.05
4.638263226,18.74,-3.03,-6.2,19.97
5.637804031,13.31,3.67,-4.41,14.49
6.637971163,14.13,5.21,-5.33,15.97
7.637262106,15.22,1.9,-7.7,17.16
8.63647604,14.62,0,-3.04,14.93
9.636080265,9.98,-0.43,2.01,10.18
10.63568616,8.79,-4.51,-0.52,9.89
11.63546014,9.31,-6.07,-9.01,14.3
12.63500929,10.85,-4.79,-11.13,16.26
13.63474798,14.12,-4.06,-11.58,18.7
14.63431811,9.31,-1.3,-12.96,16.01
15.633986,18.29,-3.68,-17.49,25.57
16.63335323,14.42,-2.74,-17.98,23.21
17.6334753,9.78,-0.1,-8.61,13.03
18.63248205,11.46,-1.34,-21.95,24.79
19.63248205,17.4,-2.13,-8.99,19.7
20.63219929,16.55,-2.16,-17.68,24.31
21.63137102,18.41,-4.14,-13.74,23.34
22.63085318,13.63,-1.61,-17.5,22.24
23.63038206,12.85,-1.69,-13.69,18.85
24.62984324,11.14,-2.48,-13.47,17.65
25.62931919,13.19,-4.22,-10.65,17.47
26.6288662,13.93,-1.54,-9.91,17.16
27.62850618,14.21,-1.31,-3.98,14.81
28.6287272,16.72,-0.41,-8.54,18.77
29.62775517,14.33,-0.77,-7.16,16.03
30.62734509,15.02,0.12,-9.27,17.65
