time,ax,ay,az,atotal
0.707937241,-0.12,1.27,-1.2,1.75
1.708051205,2.59,0.13,-2.47,3.58
2.710328102,0.87,-1.77,-4.66,5.06
3.709307194,-0.81,-0.2,0.84,1.18
4.709554195,-1.77,-0.27,7.05,7.27
5.710072994,5.17,5.05,-3.93,8.22
6.710590124,-6.21,1.42,1.08,6.46
7.710787296,5.56,2.44,-2.23,6.46
8.716077089,-2.87,0.22,0.75,2.97
9.712138176,0.73,-1.37,-0.56,1.65
10.71275902,-0.35,-1.07,2.13,2.4
11.71812916,1.74,1.72,-3.83,4.54
12.71823716,-5.04,1.52,0.73,5.31
13.71649027,2.03,1.2,-3.75,4.42
14.71571517,-2.51,-0.23,-0.11,2.52
15.71589518,0,-0.65,-1.11,1.28
16.7163291,1.48,6.38,-1.43,6.7
17.71833014,-0.03,0.9,1.29,1.57
18.71974111,5.41,-1.27,-0.81,5.61
19.71718121,-5.54,-0.31,3.2,6.4
20.71971607,-0.33,1.49,0.03,1.52
21.71908426,4.94,1.63,-5.34,7.45
22.71852732,-0.26,-2.45,1.15,2.71
23.71904016,3.56,2.47,-4.45,6.21
24.7200942,5.31,-4.96,-3.67,8.14
25.72270918,-2.95,-0.28,2.86,4.11
26.72058916,-0.99,-3.8,2.56,4.68
27.7210083,-0.39,0.26,0.53,0.7
28.27258611,-0.99,0.94,0.28,1.39
29.2716341,-1.91,-0.26,1.13,2.23
30.27127194,-4.96,-11.12,-4.42,3.6
