time,ax,ay,az,atotal
0.9870882034301758,-8.86,-2.81,0.13,9.29
1.9870519638061523,1.5,1.68,0.42,2.29
2.985826015472412,0.01,4.84,2.65,5.51
3.9852471351623535,-1.5,0.57,1.26,2.04
4.984763145446777,-4.66,-2.41,3.82,6.48
5.984787940979004,0.45,-2.19,-2.15,3.1
6.983712196350098,-0.22,1.25,-2.5,2.8
7.983485221862793,2.52,0.79,3.05,4.03
8.98304009437561,-3.66,-6.85,4.59,9.02
9.982306957244873,1.89,3.86,4.09,5.93
10.981938123703003,-3.85,-9.19,1.24,10.04
11.980937957763672,1.65,0.14,-1.1,1.98
12.980623245239258,1.53,1.17,0.23,1.93
13.981995105743408,-0.05,0.96,2.75,2.91
14.97970724105835,-2.3,-2.74,0.13,3.57
15.978384017944336,-2.2,-4.37,2.58,5.53
16.97817301750183,-2.62,-0.67,6.02,6.59
17.977586030960083,0.93,-1.05,-2.06,2.49
18.97712206840515,-1.84,0.58,-2.98,3.54
19.976437091827393,-1.36,1.51,-1.33,2.42
20.976080894470215,-0.64,0.7,-2.83,2.98
21.975307941436768,-0.34,1.39,-0.8,1.63
22.974919080734253,-1.25,2.34,0.56,2.71
23.97486400604248,-0.36,0.39,-0.1,0.54
24.973924160003662,1.44,-3.18,-1.69,3.87
25.9742112159729,-0.38,1.68,0.09,1.72
26.972991943359375,1.56,2.49,0.14,2.94
27.972522020339966,1.85,1.82,0.97,2.77
28.97251796722412,0.35,-1.6,1.45,2.18
29.971933126449585,-1.55,-2.24,3.6,4.51
30.971217155456543,1.53,-1.11,1.13,2.2
