time,ax,ay,az,atotal
0.285112143,-2.65,0.4,-1.84,3.25
1.287096977,1.49,2.59,-1.45,3.32
2.287104845,-2.34,-3.77,7.4,8.62
3.28868103,-14.18,-0.02,1.08,14.22
4.286785841,-3.79,-0.6,3.49,5.18
5.281065941,2.33,0.31,-0.5,2.4
6.28430295,8.69,5.07,-3.58,10.67
7.286047935,4.06,3.22,4.28,6.72
8.28640008,-11.1,-1.57,-6.1,12.76
9.28570199,-9.25,-1.51,-6.13,11.19
10.28373098,-3.32,1.14,7.7,8.46
11.28134394,9.02,-3.35,1.37,9.71
12.28392196,5.01,-8.05,-8.19,12.52
13.28375506,-6.28,-15.67,3.34,17.2
14.28348804,8.77,3.77,-12.23,15.51
15.28309798,3.92,3.71,0.57,5.42
16.28309417,-1.02,1.29,-1.7,2.36
17.28256392,-3.28,1.41,-2.71,4.48
18.28287292,-2.65,6.73,-7.35,10.31
19.28288388,-1.44,0.25,-1.94,2.42
20.27912784,-1.5,-4.05,-2.74,5.11
21.27936387,-2.42,-12.7,13.62,18.77
22.28143811,-10.96,8.16,3.81,14.18
23.27836204,3.01,2.34,0.07,3.81
24.27976108,9.13,0.72,-2.6,9.52
25.27759099,11.61,2.6,-2.09,12.07
26.27816892,5.31,4.08,2.72,7.22
27.27889085,2.17,2.98,1.22,3.88
28.27704787,-5.35,2.43,-0.9,5.94
29.27905393,-7.22,-1.98,-3.2,8.14
30.27910113,-5.11,-3.45,2.48,6.64
