time,ax,ay,az,atotal
1.001235008,-0.4,-7.33,0.07,7.34
1.994845867,-6.18,-5.98,-0.22,8.6
3.003621101,-3.08,-6.41,1.32,7.23
4.002718925,3.46,-3.65,1.26,5.18
5.000190973,9.3,0.42,-0.74,9.33
5.996890068,0.25,-2.64,-1.56,3.07
7.001388073,-6,-3.23,-0.86,6.86
8.000387907,-4.35,-4.39,0.14,6.18
9.001900911,3.48,-1.28,1.44,3.97
10.00271201,5.45,2.31,-0.25,5.92
11.00489283,0.78,-3.24,-1.43,3.62
12.00999999,-4.73,-5.48,4.18,8.35
13.01606178,3.3,-2.18,4.31,5.84
14.01220894,7.31,0,-2.85,7.84
15.01191401,4.95,-0.04,1.77,5.25
16.00406194,-0.24,-3.7,-0.49,3.74
17.012429,-6.83,-5.26,-0.41,8.63
18.011904,-1.72,-4.48,1.18,4.94
19.01413584,4.61,0.99,0.26,4.72
20.0092299,5.56,0.5,-3.1,6.38
21.01354194,2.05,-2.18,0.65,3.06
22.0159359,-5.66,-5.57,0.24,7.94
23.0106988,-4.73,-4.22,0.3,6.34
24.01753497,3.81,-2.05,-0.5,4.35
25.01314211,6.6,1.67,0.85,6.86
26.01362801,5.31,-4.23,1.4,6.93
27.0091958,0.58,-0.5,-4.07,4.14
27.9595511,-0.41,1.26,0.62,4.67
28.95086694,-0.27,0.38,-0.3,6.29
29.94976306,0.45,0.53,-0.44,1.58
30.94955611,-0.16,-0.62,-2.86,2.1
